pair,class,words,tier,tier_name,captions,with_term,pct
cucumber_zucchini,zucchini,20,2,Synonyms,5465,10,0.18298261665141813
cucumber_zucchini,zucchini,20,3,Head noun,5465,0,0.0
cucumber_zucchini,zucchini,25,1,Class name,5465,5174,94.67520585544374
cucumber_zucchini,zucchini,25,2,Synonyms,5465,11,0.2012808783165599
cucumber_zucchini,zucchini,25,3,Head noun,5465,0,0.0
cucumber_zucchini,zucchini,30,1,Class name,5465,5188,94.93138151875571
cucumber_zucchini,zucchini,30,2,Synonyms,5465,10,0.18298261665141813
cucumber_zucchini,zucchini,30,3,Head noun,5465,0,0.0
hotpot_vase,hotpot,3,1,Class name,5745,1264,22.001740644038293
hotpot_vase,hotpot,3,2,Synonyms,5745,5,0.08703220191470844
hotpot_vase,hotpot,3,3,Head noun,5745,1268,22.07136640557006
hotpot_vase,hotpot,5,1,Class name,5745,1990,34.63881636205396
hotpot_vase,hotpot,5,2,Synonyms,5745,5,0.08703220191470844
hotpot_vase,hotpot,5,3,Head noun,5745,2667,46.422976501305484
hotpot_vase,hotpot,7,1,Class name,5745,2015,35.0739773716275
hotpot_vase,hotpot,7,2,Synonyms,5745,1,0.017406440382941687
hotpot_vase,hotpot,7,3,Head noun,5745,3058,53.228894691035684
hotpot_vase,hotpot,10,1,Class name,5745,2025,35.24804177545692
hotpot_vase,hotpot,10,2,Synonyms,5745,4,0.06962576153176675
hotpot_vase,hotpot,10,3,Head noun,5745,3425,59.617058311575285
hotpot_vase,hotpot,15,1,Class name,5745,2035,35.42210617928634
hotpot_vase,hotpot,15,2,Synonyms,5745,2,0.034812880765883375
hotpot_vase,hotpot,15,3,Head noun,5745,3695,64.31679721496954
hotpot_vase,hotpot,20,1,Class name,5745,2121,36.91906005221932
hotpot_vase,hotpot,20,2,Synonyms,5745,2,0.034812880765883375
hotpot_vase,hotpot,20,3,Head noun,5745,3831,66.68407310704961
hotpot_vase,hotpot,25,1,Class name,5745,2110,36.72758920800696
hotpot_vase,hotpot,25,2,Synonyms,5745,2,0.034812880765883375
hotpot_vase,hotpot,25,3,Head noun,5745,3835,66.75369886858138
hotpot_vase,hotpot,30,1,Class name,5745,2184,38.01566579634465
hotpot_vase,hotpot,30,2,Synonyms,5745,2,0.034812880765883375
hotpot_vase,hotpot,30,3,Head noun,5745,3923,68.28546562228024
hotpot_vase,vase,3,1,Class name,6500,4198,64.58461538461539
hotpot_vase,vase,3,2,Synonyms,6500,93,1.4307692307692308
hotpot_vase,vase,3,3,Head noun,6500,0,0.0
hotpot_vase,vase,5,1,Class name,6500,5091,78.32307692307693
hotpot_vase,vase,5,2,Synonyms,6500,78,1.2
hotpot_vase,vase,5,3,Head noun,6500,0,0.0
hotpot_vase,vase,7,1,Class name,6500,5068,77.96923076923076
hotpot_vase,vase,7,2,Synonyms,6500,101,1.5538461538461539
hotpot_vase,vase,7,3,Head noun,6500,0,0.0
hotpot_vase,vase,10,1,Class name,6500,5029,77.36923076923077
hotpot_vase,vase,10,2,Synonyms,6500,129,1.9846153846153847
hotpot_vase,vase,10,3,Head noun,6500,0,0.0
hotpot_vase,vase,15,1,Class name,6500,4911,75.55384615384615
hotpot_vase,vase,15,2,Synonyms,6500,172,2.646153846153846
hotpot_vase,vase,15,3,Head noun,6500,0,0.0
hotpot_vase,vase,20,1,Class name,6500,4897,75.33846153846154
hotpot_vase,vase,20,2,Synonyms,6500,210,3.230769230769231
hotpot_vase,vase,20,3,Head noun,6500,0,0.0
hotpot_vase,vase,25,1,Class name,6500,4921,75.70769230769231
hotpot_vase,vase,25,2,Synonyms,6500,257,3.953846153846154
hotpot_vase,vase,25,3,Head noun,6500,0,0.0
hotpot_vase,vase,30,1,Class name,6500,5009,77.06153846153846
hotpot_vase,vase,30,2,Synonyms,6500,310,4.769230769230769
hotpot_vase,vase,30,3,Head noun,6500,0,0.0
