pair,arm,setup,level,repeat,fold,n,n_pos,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,log_loss,brier,mcc,kappa,tn,fp,fn,tp,precision_acousticguitar,recall_acousticguitar,f1_acousticguitar,precision_violin,recall_violin,f1_violin,n_train,n_test,precision_ambulance,recall_ambulance,f1_ambulance,precision_firetruck,recall_firetruck,f1_firetruck,precision_ant,recall_ant,f1_ant,precision_bee,recall_bee,f1_bee,precision_cucumber,recall_cucumber,f1_cucumber,precision_zucchini,recall_zucchini,f1_zucchini,precision_hotpot,recall_hotpot,f1_hotpot,precision_vase,recall_vase,f1_vase
ant_bee,caption,w25,caption,2,4,3325,1670,0.9371428571428572,0.9371836387647665,0.9372621097405545,0.9371836387647665,0.9371414016121941,0.9867087577111637,0.9878150406938968,0.2539079166111996,0.06383667455036707,0.8744457449844084,0.874293730378887,1566,89,120,1550,,,,,,,13315,3325,,,,,,,0.9288256227758007,0.9462235649546827,0.9374438790781203,0.9456985967053081,0.9281437125748503,0.9368389241462678,,,,,,,,,,,,
ant_bee,caption,w25,image,2,4,665,334,0.9428571428571428,0.9428966839734428,0.9429688065426648,0.9428966839734428,0.9428559798831341,0.989597843587749,0.9904568494219195,0.2505683722007672,0.06131650572620292,0.8858654875801851,0.8857212629903313,315,16,22,312,,,,,,,13315,3325,,,,,,,0.9347181008902077,0.9516616314199395,0.9431137724550899,0.9512195121951219,0.9341317365269461,0.9425981873111783,,,,,,,,,,,,
ant_bee,caption,w25,caption,3,0,3330,1675,0.9402402402402402,0.9401785633764711,0.940456457895968,0.9401785633764711,0.9402250982785546,0.9862347477115931,0.9856428474696671,0.2575063157031889,0.06469327647733256,0.8806349774260305,0.8804619389240547,1539,116,83,1592,,,,,,,13310,3330,,,,,,,0.9488286066584464,0.9299093655589123,0.9392737259688739,0.9320843091334895,0.9504477611940298,0.9411764705882353,,,,,,,,,,,,
ant_bee,caption,w25,image,3,0,666,335,0.9504504504504504,0.9503674978581413,0.9508432038133757,0.9503674978581413,0.9504315642993593,0.9898633719619425,0.9900232495174733,0.25394594616187605,0.06217750062149673,0.9012105761203162,0.9008812360756582,310,21,12,323,,,,,,,13310,3330,,,,,,,0.9627329192546584,0.9365558912386707,0.9494640122511485,0.938953488372093,0.9641791044776119,0.9513991163475699,,,,,,,,,,,,
ant_bee,caption,w25,caption,3,1,3330,1675,0.9417417417417417,0.9417793209180683,0.9417863330833407,0.9417793209180683,0.9417417207267522,0.9888035351941201,0.98816664808725,0.24555419556145816,0.06028308998003076,0.8835656539735839,0.8834885268608345,1569,86,108,1567,,,,,,,13310,3330,,,,,,,0.9355992844364938,0.9480362537764351,0.9417767106842737,0.9479733817301875,0.9355223880597014,0.9417067307692307,,,,,,,,,,,,
ant_bee,caption,w25,image,3,1,666,335,0.9474474474474475,0.9474545700500518,0.947442464468653,0.9474545700500518,0.9474463811050464,0.9916039139649186,0.991602668817488,0.24235398917437442,0.05793961040257101,0.8948970344368267,0.8948929991793447,314,17,18,317,,,,,,,13310,3330,,,,,,,0.9457831325301205,0.9486404833836858,0.947209653092006,0.9491017964071856,0.9462686567164179,0.9476831091180867,,,,,,,,,,,,
ant_bee,caption,w25,caption,3,2,3330,1670,0.9483483483483484,0.9483731332515691,0.9484546645808198,0.9483731332515691,0.9483468391252403,0.9872213404516268,0.9885217697413202,0.24727286895082876,0.06078406061170791,0.89682779412635,0.896700981842054,1588,72,100,1570,,,,,,,13310,3330,,,,,,,0.9407582938388626,0.9566265060240964,0.948626045400239,0.9561510353227771,0.9401197604790419,0.9480676328502415,,,,,,,,,,,,
ant_bee,caption,w25,image,3,2,666,334,0.9534534534534534,0.9534575427458336,0.9534534534534534,0.9534575427458336,0.9534533485137131,0.989286487266431,0.9906249061985279,0.2445293890757009,0.058543488705692356,0.9069109961900678,0.9069069069069069,317,15,16,318,,,,,,,13310,3330,,,,,,,0.9519519519519519,0.9548192771084337,0.9533834586466166,0.954954954954955,0.9520958083832335,0.9535232383808095,,,,,,,,,,,,
ant_bee,caption,w25,caption,3,3,3325,1670,0.933233082706767,0.9332588599236572,0.9332745364088648,0.9332588599236572,0.9332329317269077,0.9855010221249345,0.9850858546439895,0.2535942200507227,0.06433343012738114,0.8665333961907201,0.8664706946454415,1554,101,121,1549,,,,,,,13315,3325,,,,,,,0.9277611940298508,0.9389728096676737,0.9333333333333333,0.9387878787878788,0.9275449101796407,0.9331325301204819,,,,,,,,,,,,
ant_bee,caption,w25,image,3,3,665,334,0.9383458646616541,0.9383649619190622,0.9383649619190622,0.9383649619190622,0.9383458646616541,0.9890822584438375,0.9894559599948072,0.24984309155742296,0.061784774472041816,0.8767299238381243,0.8766942387966552,312,19,22,312,,,,,,,13315,3325,,,,,,,0.9341317365269461,0.9425981873111783,0.9383458646616541,0.9425981873111783,0.9341317365269461,0.9383458646616541,,,,,,,,,,,,
