family,pair,setup,level,arm_a,arm_b,metric,k,mean_a,mean_b,delta,delta_ci_lo,delta_ci_hi,t_nb,p_nb,p_nb_bonf,w,p_wilcoxon,p_wilcoxon_bonf,significant
tags_vs_clean,hotpot_vase,w30,image,caption_noclass_tagsub,tags,accuracy,25,0.9979071241879984,0.9708839665165201,0.02702315767147843,0.021015089014130694,0.03303122632882617,3.4476292239519193,0.002096748286951622,0.08386993147806487,0.0,1.8179489321282244e-05,0.0007271795728512897,False
tags_vs_clean,hotpot_vase,w30,image,caption_noclass_tagsub,tags,balanced_accuracy,25,0.9980001083174298,0.971202495546816,0.026797612770613953,0.020904360715372213,0.03269086482585569,3.4854626720528943,0.0019097909107303206,0.07639163642921282,0.0,1.8215297148968006e-05,0.0007286118859587202,False
tags_vs_clean,hotpot_vase,w30,image,caption_noclass_tagsub,tags,f1_macro,25,0.9978799555143613,0.970103606777575,0.027776348736786107,0.02160752717035141,0.0339451703032208,3.4513761432985586,0.002077464427716257,0.08309857710865029,0.0,1.8215297148968006e-05,0.0007286118859587202,False
tags_vs_clean,hotpot_vase,w30,image,caption_noclass_tagsub,tags,roc_auc,25,1.0,0.9943069668283403,0.0056930331716598245,0.003509893701511828,0.007876172641807821,1.9988563208836159,0.057071472480082375,1.0,0.0,2.7015948487105505e-05,0.0010806379394842202,False
tags_vs_clean,hotpot_vase,w30,image,caption_noclass_tagsub,tags,brier,25,0.05252693945056321,0.07439424078404727,-0.021867301333484072,-0.02527968336590057,-0.018454919301067574,-4.911983374062296,5.1964054270584404e-05,0.0020785621708233762,0.0,5.960464477539063e-08,2.384185791015625e-06,True
subset_cost,hotpot_vase,w03,image,caption,caption_tagsub,accuracy,25,0.9974687200033386,0.9979071241879984,-0.00043840418465951103,-0.0022878250214125695,0.0014110166520935475,-0.18170140674584606,0.8573429723737083,1.0,70.0,0.49730152952828954,1.0,False
subset_cost,hotpot_vase,w03,image,caption,caption_tagsub,balanced_accuracy,25,0.9974035431058406,0.9980001083174298,-0.0005965652115894615,-0.002418591601660752,0.0012254611784818289,-0.2509704597311102,0.8039732060659417,1.0,63.0,0.32622461063157204,1.0,False
subset_cost,hotpot_vase,w03,image,caption,caption_tagsub,f1_macro,25,0.997458648617421,0.9978799555143613,-0.00042130689694020785,-0.002286906590101935,0.0014442927962215195,-0.17310095033232709,0.8640236983971358,1.0,70.0,0.49889209485864205,1.0,False
subset_cost,hotpot_vase,w03,image,caption,caption_tagsub,roc_auc,25,0.9999284251727009,1.0,-7.157482729914122e-05,-0.00012809338831124237,-1.5056266287040073e-05,-0.9707078861615734,0.34137578379314054,1.0,0.0,0.003191522610518803,0.12766090442075212,False
subset_cost,hotpot_vase,w03,image,caption,caption_tagsub,brier,25,0.004149210362370524,0.010231106504205991,-0.006081896141835468,-0.006972915487645419,-0.005190876796025516,-5.2320418739298455,2.311800118849628e-05,0.0009247200475398511,0.0,5.960464477539063e-08,2.384185791015625e-06,True
subset_cost,hotpot_vase,w05,image,caption,caption_tagsub,accuracy,25,0.9975505195943408,0.9979071241879984,-0.0003566045936574813,-0.0021900102198459713,0.001476801032531009,-0.14908972671052756,0.8827285490108044,1.0,74.0,0.6152738740631494,1.0,False
subset_cost,hotpot_vase,w05,image,caption,caption_tagsub,balanced_accuracy,25,0.9974403324034992,0.9980001083174298,-0.0005597759139306113,-0.0023686057532254787,0.001249053925364256,-0.23721155422859494,0.8145058629887529,1.0,61.0,0.2844899329186581,1.0,False
subset_cost,hotpot_vase,w05,image,caption,caption_tagsub,f1_macro,25,0.9975405191210762,0.9978799555143613,-0.00033943639328490424,-0.0021917196571326525,0.001512846870562844,-0.14046571899175447,0.8894643015519399,1.0,74.0,0.6154003625462283,1.0,False
subset_cost,hotpot_vase,w05,image,caption,caption_tagsub,roc_auc,25,0.9999712345372493,0.9999639552212942,7.279315955202037e-06,-4.1736841083564024e-05,5.629547299396809e-05,0.1138336487057356,0.9103165842560085,1.0,21.0,0.28552683477830154,1.0,False
subset_cost,hotpot_vase,w05,image,caption,caption_tagsub,brier,25,0.004901905980749348,0.015086300782059588,-0.01018439480131024,-0.011213495044038107,-0.009155294558582373,-7.585721445788164,7.982988058170387e-08,3.193195223268155e-06,0.0,5.960464477539063e-08,2.384185791015625e-06,True
subset_cost,hotpot_vase,w07,image,caption,caption_tagsub,accuracy,25,0.9973056216351571,0.9979071241879984,-0.0006015025528411532,-0.0024846979574049068,0.0012816928517226005,-0.24482819697279182,0.8086706581254953,1.0,65.0,0.37072310464145464,1.0,False
subset_cost,hotpot_vase,w07,image,caption,caption_tagsub,balanced_accuracy,25,0.9971794628382818,0.9980001083174298,-0.0008206454791480056,-0.002694099000939849,0.0010528080426438376,-0.33576235571073626,0.7399676869927228,1.0,60.0,0.26586034307987216,1.0,False
subset_cost,hotpot_vase,w07,image,caption,caption_tagsub,f1_macro,25,0.9972944210406791,0.9978799555143613,-0.0005855344736819346,-0.0024865510972278877,0.0013154821498640185,-0.23609451632003334,0.8153625696389565,1.0,65.0,0.3710649099766251,1.0,False
subset_cost,hotpot_vase,w07,image,caption,caption_tagsub,roc_auc,25,0.9999444640796835,0.9998748210595578,6.9643020125576e-05,-8.83059818989119e-05,0.00022759202215006389,0.33797148133642047,0.7383232023042434,1.0,42.0,0.3064290050604811,1.0,False
subset_cost,hotpot_vase,w07,image,caption,caption_tagsub,brier,25,0.006084274158402192,0.019581703210465148,-0.013497429052062956,-0.014609043304403801,-0.012385814799722112,-9.307140971662173,1.9601698925372868e-09,7.840679570149148e-08,0.0,5.960464477539063e-08,2.384185791015625e-06,True
subset_cost,hotpot_vase,w10,image,caption,caption_tagsub,accuracy,25,0.9962442302074203,0.9957408458083846,0.0005033843990357756,-0.002140258734370007,0.0031470275324415584,0.14595408936753793,0.8851766127819931,1.0,137.0,0.975708022122247,1.0,False
subset_cost,hotpot_vase,w10,image,caption,caption_tagsub,balanced_accuracy,25,0.9960486483328708,0.9960579147330716,-9.266400200726998e-06,-0.002567210847483788,0.0025486780470823337,-0.0027767660414387894,0.9978074163309634,1.0,131.0,0.8312185936379505,1.0,False
