pair,arm,setup,level,metric,mean,sd,ci_lo,ci_hi,k
ant_bee,caption_tagsub,w20,caption,recall_ant,0.9252052548972439,0.018973411422249484,0.9173734155885325,0.9330370942059554,25
ant_bee,caption_tagsub,w20,caption,f1_ant,0.9257184102371612,0.013189863190101965,0.9202739023039368,0.9311629181703855,25
ant_bee,caption_tagsub,w20,caption,precision_bee,0.9223013297068862,0.0194660628048782,0.9142661339021764,0.930336525511596,25
ant_bee,caption_tagsub,w20,caption,recall_bee,0.9232879487662022,0.019266398652453005,0.9153351702728922,0.9312407272595122,25
ant_bee,caption_tagsub,w20,caption,f1_bee,0.9226228267658864,0.014592936086321647,0.9165991588061886,0.9286464947255841,25
ant_bee,caption_tagsub,w20,image,accuracy,0.9294421940591745,0.014271348343199793,0.92355127099557,0.935333117122779,25
ant_bee,caption_tagsub,w20,image,balanced_accuracy,0.9293349314204193,0.014426458281729882,0.9233799821210096,0.9352898807198291,25
ant_bee,caption_tagsub,w20,image,precision_macro,0.9295642451953001,0.014227018736576886,0.9236916204939649,0.9354368698966353,25
ant_bee,caption_tagsub,w20,image,recall_macro,0.9293349314204193,0.014426458281729882,0.9233799821210096,0.9352898807198291,25
ant_bee,caption_tagsub,w20,image,f1_macro,0.9292773515743433,0.014351041756703205,0.9233535326864386,0.935201170462248,25
ant_bee,caption_tagsub,w20,image,roc_auc,0.9836154266794925,0.0060476438655112505,0.9811190819844391,0.986111771374546,25
ant_bee,caption_tagsub,w20,image,pr_auc,0.9835318887471967,0.006140241615956809,0.9809973215793523,0.986066455915041,25
ant_bee,caption_tagsub,w20,image,log_loss,0.3310569734281994,0.0103881254697361,0.32676896598519944,0.33534498087119935,25
ant_bee,caption_tagsub,w20,image,brier,0.08756376955828218,0.004749259589205555,0.08560337155129029,0.08952416756527408,25
ant_bee,caption_tagsub,w20,image,mcc,0.8588983501853974,0.028630491381132064,0.847080264189353,0.8707164361814418,25
ant_bee,caption_tagsub,w20,image,kappa,0.8585820223283672,0.028691280624330396,0.846738843766003,0.8704252008907315,25
ant_bee,caption_tagsub,w20,image,precision_ant,0.9305629550667602,0.017644396389836153,0.9232797062008047,0.9378462039327158,25
ant_bee,caption_tagsub,w20,image,recall_ant,0.9315819568987702,0.019181725114014,0.9236641299242987,0.9394997838732417,25
ant_bee,caption_tagsub,w20,image,f1_ant,0.9309106855637809,0.013558976335418613,0.9253138152126171,0.9365075559149446,25
