family,pair,setup,level,arm_a,arm_b,metric,k,mean_a,mean_b,delta,delta_ci_lo,delta_ci_hi,t_nb,p_nb,p_nb_bonf,w,p_wilcoxon,p_wilcoxon_bonf,significant
tags_vs_desc,ant_bee,w10,caption,caption_tagsub,tags,accuracy,25,0.9577857914417784,0.9577784691056028,7.32233617566358e-06,-0.00619945726254895,0.006214101934900277,0.0009042794989863913,0.9992859640298309,1.0,143.0,0.8414805811217939,1.0,False
tags_vs_desc,ant_bee,w10,caption,caption_tagsub,tags,balanced_accuracy,25,0.9576135770323212,0.9576728912719981,-5.931423967679095e-05,-0.006213368918480444,0.006094740439126862,-0.007387831170122744,0.9941664850676684,1.0,159.0,0.936802864074707,1.0,False
tags_vs_desc,ant_bee,w10,caption,caption_tagsub,tags,f1_macro,25,0.9576770437168979,0.9576810343787381,-3.990661840220789e-06,-0.006215451680911424,0.006207470357230983,-0.0004924594879725175,0.9996111447580395,1.0,156.0,0.8739878535270691,1.0,False
tags_vs_desc,ant_bee,w10,caption,caption_tagsub,tags,roc_auc,25,0.9914899277946465,0.9931779434831677,-0.0016880156885210873,-0.004061762256598804,0.000685730879556629,-0.5450815395786905,0.5907274593989392,1.0,113.0,0.19081425666809082,1.0,False
tags_vs_desc,ant_bee,w10,caption,caption_tagsub,tags,brier,25,0.050950953507890404,0.07914417422044863,-0.028193220712558226,-0.03041724941269783,-0.02596919201241862,-9.716808619333724,8.588815785080463e-10,1.7177631570160927e-08,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w03,caption,caption_noclass_tagsub,tags,accuracy,25,0.8573484508611561,0.9577784691056028,-0.1004300182444467,-0.10925199894923626,-0.09160803753965713,-8.726031634744881,6.55746238084261e-09,1.311492476168522e-07,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w03,caption,caption_noclass_tagsub,tags,balanced_accuracy,25,0.8566971505840655,0.9576728912719981,-0.10097574068793248,-0.10967665530577012,-0.09227482607009485,-8.895522974861697,4.5898059173212905e-09,9.179611834642581e-08,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w03,caption,caption_noclass_tagsub,tags,f1_macro,25,0.8568615966275295,0.9576810343787381,-0.10081943775120855,-0.10963520519526254,-0.09200367030715456,-8.766040868519147,6.025778670055164e-09,1.2051557340110327e-07,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w03,caption,caption_noclass_tagsub,tags,roc_auc,25,0.9284315872695892,0.9931779434831677,-0.06474635621357835,-0.06889069126136507,-0.06060202116579164,-11.975118475211309,1.30472938607709e-11,2.6094587721541797e-10,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w03,caption,caption_noclass_tagsub,tags,brier,25,0.10584859383136033,0.07914417422044863,0.026704419610911703,0.02367446551535747,0.029734373706465936,6.755639085992326,5.48266592963343e-07,1.096533185926686e-05,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w05,caption,caption_noclass_tagsub,tags,accuracy,25,0.8623965092766787,0.9577784691056028,-0.09538195982892411,-0.10332269678714359,-0.08744122287070463,-9.207140634065253,2.4053845592469255e-09,4.8107691184938514e-08,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w05,caption,caption_noclass_tagsub,tags,balanced_accuracy,25,0.8621377258905351,0.9576728912719981,-0.09553516538146294,-0.10329640004032857,-0.0877739307225973,-9.435214773191117,1.510995887581569e-09,3.021991775163138e-08,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w05,caption,caption_noclass_tagsub,tags,f1_macro,25,0.8620563408271,0.9576810343787381,-0.09562469355163794,-0.10355790717850624,-0.08769147992476964,-9.239325176015388,2.2517201198309903e-09,4.503440239661981e-08,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
