pair,arm,setup,ranking,k,mean,sd,ci_lo,ci_hi,n_groups,frac_active
acousticguitar_violin,tags,tags,smer_legacy,5,0.07614600166422829,0.006744039994777234,0.0677721700002671,0.08451983332818948,5,0.5254674027078097
acousticguitar_violin,tags,tags,smer_legacy_global,0,0.0,0.0,0.0,0.0,5,1.0
acousticguitar_violin,tags,tags,smer_legacy_global,1,0.053254435658460386,0.007846487862982329,0.04351173416665244,0.06299713715026833,5,0.3943428004982848
acousticguitar_violin,tags,tags,smer_legacy_global,2,0.05340228892936192,0.007705631348035021,0.0438344839010765,0.06297009395764734,5,0.001941747572815534
acousticguitar_violin,tags,tags,smer_legacy_global,3,0.05340228892936192,0.007705631348035021,0.0438344839010765,0.06297009395764734,5,0.0
acousticguitar_violin,tags,tags,smer_legacy_global,4,0.05340228892936192,0.007705631348035021,0.0438344839010765,0.06297009395764734,5,0.0
acousticguitar_violin,tags,tags,smer_legacy_global,5,0.05340228892936192,0.007705631348035021,0.0438344839010765,0.06297009395764734,5,0.0
acousticguitar_violin,tags,tags,smer_subsample,0,0.0,0.0,0.0,0.0,5,1.0
acousticguitar_violin,tags,tags,smer_subsample,1,0.10222470201681129,0.004366733598938143,0.09680268611726305,0.10764671791635953,5,0.9369721691570231
acousticguitar_violin,tags,tags,smer_subsample,2,0.18004062415180186,0.0030215098262935548,0.17628892418027425,0.18379232412332946,5,0.85581870227714
acousticguitar_violin,tags,tags,smer_subsample,3,0.22056321881619573,0.005598938580695335,0.21361121835239225,0.2275152192799992,5,0.7597556835015602
acousticguitar_violin,tags,tags,smer_subsample,4,0.24283870395715543,0.006468741887088987,0.23480670004228435,0.2508707078720265,5,0.6233515101920906
acousticguitar_violin,tags,tags,smer_subsample,5,0.2585570562533669,0.008070681167937242,0.24853598200615812,0.26857813050057566,5,0.5254674027078097
acousticguitar_violin,tags,tags,lime,0,0.0,0.0,0.0,0.0,5,1.0
acousticguitar_violin,tags,tags,lime,1,0.10222470201681129,0.004366733598938143,0.09680268611726305,0.10764671791635953,5,0.9369721691570231
acousticguitar_violin,tags,tags,lime,2,0.1800387316243665,0.003018491981834388,0.17629077880165603,0.183786684447077,5,0.85581870227714
acousticguitar_violin,tags,tags,lime,3,0.22054843122660484,0.005592676395025713,0.2136042062932974,0.22749265615991227,5,0.7597556835015602
acousticguitar_violin,tags,tags,lime,4,0.24280409463387823,0.006445428060772958,0.23480103865780413,0.2508071506099523,5,0.6233515101920906
acousticguitar_violin,tags,tags,lime,5,0.2585178773134215,0.008074224433017547,0.24849240352152643,0.26854335110531663,5,0.5254674027078097
acousticguitar_violin,tags,tags,lime_bow,0,0.0,0.0,0.0,0.0,5,1.0
